unix,date,symbol,open,high,low,close,Volume ETH,Volume USDT,tradecount
1596726000000,2020-08-06 15:00:00,ETH/USDT,396.91,401.66,396.89,399.77,121695.070,48634517.27063,27973
1596729600000,2020-08-06 16:00:00,ETH/USDT,399.78,400.85,397.20,398.93,91306.136,36423951.62475,25083
1596733200000,2020-08-06 17:00:00,ETH/USDT,398.94,399.45,395.66,397.44,71580.959,28422347.55238,17709
1596736800000,2020-08-06 18:00:00,ETH/USDT,397.44,397.84,395.01,397.44,53257.867,21120403.42125,15280
1596740400000,2020-08-06 19:00:00,ETH/USDT,397.44,399.00,396.56,397.32,54968.843,21860701.78068,13993
1596744000000,2020-08-06 20:00:00,ETH/USDT,397.31,398.72,395.40,396.83,51773.366,20562710.56225,13742
1596747600000,2020-08-06 21:00:00,ETH/USDT,396.83,398.00,392.15,395.69,69371.191,27408498.92803,19471
1596751200000,2020-08-06 22:00:00,ETH/USDT,395.62,396.50,393.30,394.84,62997.000,24871687.21038,17235
1596754800000,2020-08-06 23:00:00,ETH/USDT,394.82,395.54,390.60,395.09,79611.902,31293283.87791,19442
1596758400000,2020-08-07 00:00:00,ETH/USDT,395.10,396.74,394.15,395.40,55464.776,21942433.17681,14538
1596762000000,2020-08-07 01:00:00,ETH/USDT,395.40,398.86,395.28,397.56,62943.888,25021443.25407,18130
1596765600000,2020-08-07 02:00:00,ETH/USDT,397.45,398.66,396.14,396.79,52209.987,20756011.76487,16581
1596769200000,2020-08-07 03:00:00,ETH/USDT,396.78,397.99,395.70,395.91,36436.815,14457409.89277,11247
1596772800000,2020-08-07 04:00:00,ETH/USDT,395.92,396.66,394.38,396.21,60217.170,23814390.86450,13669
1596776400000,2020-08-07 05:00:00,ETH/USDT,396.09,396.33,393.63,394.86,47002.812,18556085.34063,12647
1596780000000,2020-08-07 06:00:00,ETH/USDT,394.85,396.10,394.00,395.26,37065.767,14655563.06744,9181
1596783600000,2020-08-07 07:00:00,ETH/USDT,395.26,395.38,393.61,394.64,42700.988,16842122.47970,11248
1596787200000,2020-08-07 08:00:00,ETH/USDT,394.64,396.81,392.58,396.00,79965.110,31605888.92872,18639
1596790800000,2020-08-07 09:00:00,ETH/USDT,396.03,397.99,395.30,396.38,53317.459,21151762.80311,14793
1596794400000,2020-08-07 10:00:00,ETH/USDT,396.39,397.01,394.75,395.30,36923.429,14618574.76425,11944
1596798000000,2020-08-07 11:00:00,ETH/USDT,395.30,395.37,393.35,394.53,66008.350,26037481.86371,15995
1596801600000,2020-08-07 12:00:00,ETH/USDT,394.54,395.70,392.16,395.07,83413.656,32858643.17011,19186
1596805200000,2020-08-07 13:00:00,ETH/USDT,395.00,395.98,392.96,394.45,45047.806,17771068.52193,14350
1596808800000,2020-08-07 14:00:00,ETH/USDT,394.46,394.58,371.00,384.94,412189.803,158746061.76634,78123
1596812400000,2020-08-07 15:00:00,ETH/USDT,384.95,388.03,384.10,385.75,86362.754,33385081.95522,25330
1596816000000,2020-08-07 16:00:00,ETH/USDT,385.78,387.38,379.14,379.33,136723.189,52454944.51694,35769
1596819600000,2020-08-07 17:00:00,ETH/USDT,379.33,380.00,361.27,373.83,542418.879,202025362.37754,114269
1596823200000,2020-08-07 18:00:00,ETH/USDT,373.80,374.37,365.00,373.53,256505.261,94948971.37813,60538
1596826800000,2020-08-07 19:00:00,ETH/USDT,373.55,377.08,372.53,374.71,104941.559,39380829.73165,27684
1596830400000,2020-08-07 20:00:00,ETH/USDT,374.65,380.00,373.29,377.70,107806.206,40736730.46149,25452
1596834000000,2020-08-07 21:00:00,ETH/USDT,377.71,379.96,376.34,379.51,55206.203,20880498.17773,17782
1596837600000,2020-08-07 22:00:00,ETH/USDT,379.60,383.36,378.18,380.35,75551.597,28794025.21315,21243
1596841200000,2020-08-07 23:00:00,ETH/USDT,380.36,383.17,378.67,379.63,55387.958,21073882.33797,16751
1596844800000,2020-08-08 00:00:00,ETH/USDT,379.62,380.80,376.11,379.55,66126.936,25051134.50716,19828
1596848400000,2020-08-08 01:00:00,ETH/USDT,379.61,382.99,379.60,381.63,46506.901,17729695.01672,14966
1596852000000,2020-08-08 02:00:00,ETH/USDT,381.61,382.70,378.21,380.87,35599.359,13533110.24188,14183
1596855600000,2020-08-08 03:00:00,ETH/USDT,380.84,380.85,377.16,378.36,39919.071,15125724.36717,12770
1596859200000,2020-08-08 04:00:00,ETH/USDT,378.28,379.92,377.47,377.58,36441.391,13802081.36823,12092
1596862800000,2020-08-08 05:00:00,ETH/USDT,377.58,381.49,377.50,380.77,43084.978,16366250.32593,13079
1596866400000,2020-08-08 06:00:00,ETH/USDT,380.76,381.44,380.00,380.64,22364.474,8510982.35189,11031
1596870000000,2020-08-08 07:00:00,ETH/USDT,380.65,381.93,380.01,380.35,31265.691,11909917.38316,9839
1596873600000,2020-08-08 08:00:00,ETH/USDT,380.35,380.96,378.32,379.15,46261.150,17544821.55259,12363
1596877200000,2020-08-08 09:00:00,ETH/USDT,379.18,386.60,379.15,386.24,97485.058,37407603.06103,26469
1596880800000,2020-08-08 10:00:00,ETH/USDT,386.26,389.00,384.51,387.56,87930.232,34017855.90916,24632
1596884400000,2020-08-08 11:00:00,ETH/USDT,387.66,392.65,387.64,392.00,99169.606,38715848.29370,26867
1596888000000,2020-08-08 12:00:00,ETH/USDT,392.07,393.76,390.25,391.85,83622.332,32776762.56610,23295
1596891600000,2020-08-08 13:00:00,ETH/USDT,391.81,392.59,389.51,390.72,56476.671,22068956.14538,16575
1596895200000,2020-08-08 14:00:00,ETH/USDT,390.71,391.56,388.02,390.34,53852.553,20978727.23064,17559
1596898800000,2020-08-08 15:00:00,ETH/USDT,390.34,393.08,390.17,390.95,51575.846,20203493.32324,16199
1596902400000,2020-08-08 16:00:00,ETH/USDT,390.90,391.91,386.16,390.57,111803.835,43447196.87826,27746
1596906000000,2020-08-08 17:00:00,ETH/USDT,390.53,393.15,387.15,392.02,61877.176,24190444.22076,18214
1596909600000,2020-08-08 18:00:00,ETH/USDT,392.03,392.11,389.25,391.25,37646.472,14710037.13615,16249
1596913200000,2020-08-08 19:00:00,ETH/USDT,391.27,391.58,387.26,389.53,47599.623,18519371.44205,14391
1596916800000,2020-08-08 20:00:00,ETH/USDT,389.54,389.71,386.86,388.43,34023.076,13207793.84830,11624
1596920400000,2020-08-08 21:00:00,ETH/USDT,388.43,391.67,388.30,391.65,35636.719,13901116.64103,12052
1596924000000,2020-08-08 22:00:00,ETH/USDT,391.66,392.52,389.60,391.20,36035.617,14096864.37027,11860
1596927600000,2020-08-08 23:00:00,ETH/USDT,391.23,397.75,388.64,397.48,83117.061,32692622.60436,21300
1596931200000,2020-08-09 00:00:00,ETH/USDT,397.56,400.73,396.64,398.48,158191.290,63097897.13186,36509
1596934800000,2020-08-09 01:00:00,ETH/USDT,398.49,398.90,393.16,396.02,111869.180,44263025.44481,23853
1596938400000,2020-08-09 02:00:00,ETH/USDT,396.02,397.65,395.15,395.60,40583.014,16087293.82603,11923
1596942000000,2020-08-09 03:00:00,ETH/USDT,395.60,398.09,394.98,395.33,58504.726,23190446.92277,13756
1596945600000,2020-08-09 04:00:00,ETH/USDT,395.37,396.23,393.52,394.32,37858.976,14949548.52438,11298
1596949200000,2020-08-09 05:00:00,ETH/USDT,394.28,395.94,392.84,392.99,50357.890,19860059.14758,13538
1596952800000,2020-08-09 06:00:00,ETH/USDT,392.90,395.22,392.72,393.05,43575.740,17168045.24620,11022
1596956400000,2020-08-09 07:00:00,ETH/USDT,393.04,396.01,392.95,395.75,30857.385,12185448.42455,9798
1596960000000,2020-08-09 08:00:00,ETH/USDT,395.67,396.87,393.74,394.70,37188.265,14698705.07457,11149
1596963600000,2020-08-09 09:00:00,ETH/USDT,394.70,396.10,383.75,389.66,121720.954,47462935.81056,30677
1596967200000,2020-08-09 10:00:00,ETH/USDT,389.66,391.74,386.88,391.65,78682.264,30664445.74962,21742
1596970800000,2020-08-09 11:00:00,ETH/USDT,391.63,393.57,390.93,392.35,45232.458,17755486.16215,15183
1596974400000,2020-08-09 12:00:00,ETH/USDT,392.35,392.42,387.71,389.72,62007.290,24168814.56306,17809
1596978000000,2020-08-09 13:00:00,ETH/USDT,389.76,390.70,386.67,387.90,70425.077,27359637.63010,19058
1596981600000,2020-08-09 14:00:00,ETH/USDT,387.87,388.97,384.05,385.88,82797.578,32004351.93727,23014
1596985200000,2020-08-09 15:00:00,ETH/USDT,385.78,388.50,383.99,386.98,55030.140,21259763.31570,18011
1596988800000,2020-08-09 16:00:00,ETH/USDT,386.98,391.79,386.00,388.29,77861.075,30298816.60503,20201
1596992400000,2020-08-09 17:00:00,ETH/USDT,388.28,389.63,384.74,385.50,59600.181,23054561.89106,16116
1596996000000,2020-08-09 18:00:00,ETH/USDT,385.48,390.62,385.48,390.51,44895.686,17433426.09615,12988
1596999600000,2020-08-09 19:00:00,ETH/USDT,390.51,391.59,389.22,390.01,39586.258,15456818.07369,13096
1597003200000,2020-08-09 20:00:00,ETH/USDT,390.01,393.24,389.95,393.17,32116.807,12582201.71117,12373
1597006800000,2020-08-09 21:00:00,ETH/USDT,393.24,394.60,388.30,389.64,46575.758,18240519.35100,15927
1597010400000,2020-08-09 22:00:00,ETH/USDT,389.62,391.74,387.35,389.01,42985.972,16726379.84732,12329
1597014000000,2020-08-09 23:00:00,ETH/USDT,389.02,390.88,387.50,390.54,28914.173,11250055.29122,10031
1597017600000,2020-08-10 00:00:00,ETH/USDT,390.54,393.68,390.51,391.65,54470.380,21362472.32987,15120
1597021200000,2020-08-10 01:00:00,ETH/USDT,391.66,395.72,390.77,395.28,54676.039,21490802.25697,14847
1597024800000,2020-08-10 02:00:00,ETH/USDT,395.22,399.24,395.01,396.99,161597.872,64204536.60518,34212
1597028400000,2020-08-10 03:00:00,ETH/USDT,396.98,398.92,395.63,397.98,71823.316,28540655.55138,15944
1597032000000,2020-08-10 04:00:00,ETH/USDT,397.97,400.70,396.02,396.51,91198.012,36322142.22936,21142
1597035600000,2020-08-10 05:00:00,ETH/USDT,396.49,397.28,393.54,395.40,62952.125,24895627.79789,14444
1597039200000,2020-08-10 06:00:00,ETH/USDT,395.41,397.07,394.33,396.99,35376.198,14006528.80568,10643
1597042800000,2020-08-10 07:00:00,ETH/USDT,396.98,397.20,394.71,395.39,35585.752,14084723.04660,11423
1597046400000,2020-08-10 08:00:00,ETH/USDT,395.39,397.31,395.01,395.92,43347.981,17180863.58194,15362
1597050000000,2020-08-10 09:00:00,ETH/USDT,395.92,396.25,393.88,394.88,39280.033,15520768.61246,13434
1597053600000,2020-08-10 10:00:00,ETH/USDT,394.88,396.19,384.34,390.27,180450.518,70349359.07632,40312
